cliente_id,regras_disparadas,nivel_risco_regra,nivel_risco_agente,concorda,justificativa_agente
CLI-002,fracionamento,médio,médio,True,"O cliente CLI-002 foi sinalizado pela regra de fracionamento em 01/05/2026, data em que realizou 4 operações somando R$ 64.723,09, valor considerável frente ao seu volume total histórico de R$ 107.965,38. A concentração dessas transações em um único dia, combinada com a pluralidade de canais e contrapartes utilizados no período, justifica a averiguação por suspeita de fracionamento."
CLI-003,fracionamento,médio,baixo,False,"O cliente foi sinalizado pela regra de fracionamento em decorrência de 4 operações realizadas no dia 02/05/2026 que somaram R$ 50.846,72. No entanto, a análise detalhada do dia demonstra que as transações envolveram canais, tipos e contrapartes distintos e variados, sem evidências claras de evasão de limites ou estruturação típica de lavagem de dinheiro ao longo de seu histórico."
CLI-005,valor_atipico,médio,médio,True,"O cliente CLI-005 realizou 11 operações totalizando R$ 64.742,66, sendo sinalizado por valor atípico em duas ocasiões distintas. Destaca-se a transação OP-00043, que atingiu 14,3 vezes a mediana do cliente, além de uma segunda ocorrência em OP-00049 com 5,6 vezes a mediana, indicando picos expressivos de movimentação em relação ao seu perfil."
CLI-013,valor_atipico,médio,médio,True,"O cliente CLI-013 apresentou duas operações de valor atípico no dia 06/03/2026, atingindo múltiplos de 8.5x e 9.1x em relação à sua mediana. Embora o volume total movimentado seja moderado e não haja indícios de fracionamento, a ocorrência de transações expressivas logo no início da relação comercial eleva o risco e justifica o monitoramento."
CLI-014,valor_atipico,médio,médio,True,"O cliente CLI-014 apresentou três operações distintas com valores atípicos em março de 2026, com destaque para a operação OP-00133 que atingiu 10.2 vezes a sua mediana (R$ 23.640,97). A ausência de fracionamento e o uso de múltiplos canais e contrapartes atenuam o risco, mas a repetição de valores expressivos exige monitoramento contínuo."
CLI-017,fracionamento,médio,médio,True,"O cliente CLI-017 foi sinalizado pela regra de fracionamento em 2026-03-08, data em que realizou 4 operações totalizando R$ 64.673,88, representando mais de metade do volume total transacionado no período. A diversidade de canais e contrapartes nesse mesmo dia corrobora indícios de pulverização de valores para evitar monitoramento."
CLI-023,valor_atipico,médio,alto,False,"O cliente CLI-023 apresentou duas operações de valor atípico que atingiram múltiplos de 12.9x e 20.2x em relação à sua mediana, evidenciando uma volatilidade extrema e incompatível com o padrão habitual de movimentação. Considerando a magnitude dessas transações isoladas em um universo de apenas 12 operações, o perfil de risco é elevado para potencial ocultação ou trânsito de recursos atípicos."
CLI-026,valor_atipico,médio,médio,True,"O cliente CLI-026 foi sinalizado pela regra de valor atípico devido a duas operações distantes da sua mediana, sendo a maior delas de R$ 21.261,01 em 2026-05-17 (10.5x a mediana). Embora o volume total movimentado seja moderado e não haja indícios de fracionamento, a presença de transações pontuais expressivas combinadas com o uso de diversos canais justifica uma classificação de risco médio para monitoramento."
CLI-028,valor_atipico,médio,médio,True,"O cliente CLI-028 realizou duas operações atípicas em 2026-03-21 totalizando valores expressivos e superando em mais de 5 vezes a sua mediana habitual. Embora tenha apresentado múltiplos moderados e ausência de fracionamento, a concentração de transações de alto valor em um único dia requer monitoramento. O risco é considerado médio devido ao caráter pontual do alerta e à diversidade de contrapartes e canais utilizados no período."
CLI-029,fracionamento,médio,médio,True,"O cliente CLI-029 foi sinalizado pela regra determinística de fracionamento devido a um agrupamento de 4 operações no dia 26/05/2026, somando R$ 71.297,68. Embora não haja registros de operações atípicas por valor isolado, o volume concentrado em um único dia eleva o risco de estruturação de transações. Recomenda-se monitoramento contínuo das movimentações futuras."
